EmployeeID,FirstName,LastName,DateOfBirth,Gender,HireDate,Department,JobRole,EducationLevel,MaritalStatus,Country,City
1,John,Doe,5/15/1985,Male,1/20/2010,Human Resources,HR Manager,Master's,Married,USA,New York
2,Jane,Smith,11/22/1990,Female,3/10/2015,Marketing,Marketing Specialist,Bachelor's,Single,USA,Los Angeles
3,Michael,Brown,7/1/1982,Male,9/5/2008,Sales,Sales Director,Bachelor's,Married,Canada,Toronto
4,Emily,Davis,2/28/1993,Female,6/12/2018,Finance,Financial Analyst,Master's,Single,UK,London
5,David,Wilson,9/3/1978,Male,4/18/2005,IT,Software Engineer,PhD,Married,Germany,Berlin
6,Sarah,Miller,4/10/1991,Female,1/1/2016,Operations,Operations Coordinator,Bachelor's,Single,Australia,Sydney
7,Chris,Taylor,12/5/1987,Male,11/11/2012,Human Resources,HR Generalist,Bachelor's,Married,USA,Chicago
8,Jessica,Moore,8/19/1995,Female,2/29/2020,Marketing,Digital Marketing Mgr,Master's,Single,USA,San Francisco
9,Daniel,Garcia,3/25/1980,Male,7/7/2007,Sales,Account Manager,Bachelor's,Married,Canada,Vancouver
10,Laura,Rodriguez,1/30/1989,Female,5/20/2014,Finance,Accountant,Bachelor's,Married,UK,Manchester
11,Matthew,Martinez,6/8/1983,Male,2/14/2011,IT,Network Administrator,Associate's,Single,Germany,Munich
12,Olivia,Hernandez,10/17/1992,Female,9/1/2017,Operations,Supply Chain Analyst,Master's,Single,Australia,Melbourne
13,James,Clark,2/14/1986,Male,3/3/2013,Human Resources,Recruitment Specialist,Bachelor's,Married,USA,Houston
14,Sophia,Lewis,7/29/1994,Female,1/15/2019,Marketing,Content Creator,Bachelor's,Single,USA,Dallas
15,Joseph,Robinson,11/11/1979,Male,10/22/2006,Sales,Regional Sales Manager,Master's,Married,Canada,Montreal
16,Isabella,Walker,6/20/1988,Female,8/1/2015,Finance,Tax Specialist,Bachelor's,Married,UK,Birmingham
17,Robert,Hall,3/16/1981,Male,1/5/2009,IT,Cybersecurity Analyst,Master's,Single,Germany,Frankfurt
18,Mia,Young,9/9/1990,Female,12/1/2016,Operations,Logistics Coordinator,Associate's,Single,Australia,Perth
19,Charles,Allen,4/1/1984,Male,4/1/2012,Human Resources,HR Business Partner,Master's,Married,USA,Philadelphia
20,Charlotte,Wright,12/12/1996,Female,3/1/2021,Marketing,Social Media Manager,Bachelor's,Single,USA,Miami
21,Thomas,King,1/23/1977,Male,6/30/2004,Sales,Sales Executive,Bachelor's,Married,Canada,Calgary
22,Amelia,Scott,5/5/1985,Female,7/10/2013,Finance,Auditor,Master's,Married,UK,Glasgow
23,Henry,Green,10/20/1982,Male,9/15/2010,IT,IT Support Specialist,Associate's,Single,Germany,Hamburg
24,Evelyn,Baker,3/14/1991,Female,1/1/2017,Operations,Production Planner,Bachelor's,Single,Australia,Adelaide
25,William,Adams,8/8/1980,Male,2/28/2007,Human Resources,Compensation Analyst,Master's,Married,USA,Boston
26,Harper,Nelson,1/19/1993,Female,4/1/2018,Marketing,Product Marketing Mgr,Bachelor's,Single,USA,Atlanta
27,Jacob,Carter,11/2/1976,Male,5/15/2003,Sales,Senior Sales Rep,Bachelor's,Married,Canada,Edmonton
28,Ella,Mitchell,7/4/1989,Female,8/22/2014,Finance,Credit Analyst,Master's,Married,UK,Liverpool
29,Alexander,Perez,2/10/1983,Male,6/1/2011,IT,Data Scientist,PhD,Single,Germany,Stuttgart
30,Abigail,Roberts,9/26/1992,Female,5/1/2019,Operations,Quality Control Spec,Bachelor's,Single,Australia,Brisbane
31,Michael,Morgan,4/3/1986,Male,10/10/2013,Human Resources,Training Specialist,Bachelor's,Married,USA,Phoenix
32,Elizabeth,Turner,6/15/1994,Female,1/20/2020,Marketing,Market Research Analyst,Master's,Single,USA,Denver
33,Benjamin,Phillips,12/1/1978,Male,9/1/2005,Sales,Sales Manager,Bachelor's,Married,Canada,Quebec City
34,Sofia,Campbell,10/23/1990,Female,3/15/2016,Finance,Financial Planner,Bachelor's,Married,UK,Edinburgh
35,Ethan,Parker,5/7/1981,Male,2/1/2008,IT,IT Project Manager,Master's,Single,Germany,Cologne
36,Avery,Evans,3/5/1993,Female,7/1/2018,Operations,Logistics Manager,Associate's,Single,Australia,Canberra
37,Daniel,Edwards,1/18/1987,Male,11/25/2014,Human Resources,HR Coordinator,Bachelor's,Married,USA,San Antonio
38,Chloe,Collins,11/30/1995,Female,4/10/2021,Marketing,SEO Specialist,Bachelor's,Single,USA,Portland
39,Logan,Stewart,6/9/1979,Male,8/8/2006,Sales,Key Account Manager,Master's,Married,Canada,Winnipeg
40,Grace,Sanchez,8/21/1988,Female,2/1/2015,Finance,Investment Analyst,Bachelor's,Married,UK,Bristol
41,Jackson,Morris,1/4/1982,Male,6/10/2009,IT,Cloud Engineer,Master's,Single,Germany,Dusseldorf
42,Victoria,Ramirez,7/7/1991,Female,3/1/2017,Operations,Supply Chain Manager,Associate's,Single,Australia,Gold Coast
43,Sebastian,Cook,3/12/1985,Male,1/1/2012,Human Resources,Employee Relations Spec,Bachelor's,Married,USA,Charlotte
44,Hannah,Bell,9/2/1994,Female,2/1/2019,Marketing,PR Specialist,Bachelor's,Single,USA,Nashville
45,Samuel,Morgan,10/16/1976,Male,4/20/2003,Sales,Sales Manager,Master's,Married,Canada,Ottawa
46,Zoey,Murphy,4/29/1989,Female,9/11/2014,Finance,Treasury Analyst,Bachelor's,Married,UK,Cardiff
47,Andrew,Rivera,9/13/1983,Male,4/1/2011,IT,DevOps Engineer,PhD,Single,Germany,Leipzig
48,Scarlett,Bailey,2/24/1992,Female,5/1/2017,Operations,Operations Analyst,Bachelor's,Single,Australia,Newcastle
49,Julian,Cooper,7/6/1980,Male,10/1/2007,Human Resources,HR Assistant,Associate's,Married,USA,Orlando
50,Addison,Richardson,5/18/1993,Female,9/1/2018,Marketing,Brand Manager,Master's,Single,USA,Kansas City
51,Gabriel,Cox,3/8/1977,Male,7/15/2004,Sales,Sales Representative,Bachelor's,Married,Canada,Victoria
